Vibration(mm/s),Temperature(°C),FlowRate(LPM),RPM,Lubrication_Level(%),Pressure(bar),Failure
1.06,62.21,749.74,1420.96,94.34,0.58,0
1.65,31.68,373.19,1352.4,71.52,4.85,0
1.25,70.68,450.23,1460.46,72.18,4.83,0
1.98,48.02,625.51,1316.27,90.01,3.62,0
1.22,66.29,504.78,1390.71,81.1,5.11,0
2.1,40.34,399.31,1548.72,74.03,5.47,0
2.46,25.07,465.82,1382.82,76.95,6.41,0
1.99,55.03,404.88,1440.57,73.22,4.17,0
2.15,27.83,450.14,1395.74,86.44,5.34,0
0.82,62.8,535.97,1408.61,84.96,3.68,0
2.31,54.24,634.51,1438.33,72.95,6.42,0
1.56,42.04,517.96,1555.52,60.02,5.21,0
-0.07,54.75,502.01,1326.3,93.01,3.1,0
2.61,32.52,782.43,1409.46,65.01,2.75,0
2.43,67.12,435.89,1546.29,86.62,7.36,0
0.56,41.23,504.6,1561.69,81.91,4.47,0
1.29,39.49,483.17,1401.0,88.19,5.16,0
1.82,44.66,633.39,1277.54,72.29,2.82,0
0.91,55.0,326.97,1478.67,70.19,4.38,0
-0.04,53.23,569.39,1441.18,76.29,7.15,0
0.81,36.28,356.37,1624.84,76.07,6.4,0
2.76,44.98,451.24,1594.38,68.07,4.29,0
2.0,43.73,407.76,1578.0,74.96,2.78,0
2.13,61.81,494.52,1539.85,75.54,2.69,0
2.14,46.43,432.85,1485.14,62.4,6.98,0
1.69,48.17,637.85,1382.7,69.87,3.18,0
1.76,49.52,495.56,1315.54,70.99,5.15,0
1.51,58.16,601.03,1363.16,96.74,4.91,0
1.73,69.35,419.42,1472.71,74.58,5.87,0
3.19,44.65,612.82,1390.26,86.04,5.74,0
1.83,54.96,486.91,1473.27,88.45,2.91,0
2.24,53.13,291.42,1297.36,94.78,8.84,0
2.43,42.43,672.22,1414.19,77.83,8.36,0
1.16,52.33,456.61,1251.99,81.24,5.66,0
1.47,37.01,309.51,1509.86,99.86,5.03,0
2.96,48.87,555.59,1362.69,86.19,3.3,0
1.22,51.23,473.82,1499.06,76.87,5.35,0
0.92,56.41,545.05,1361.13,76.96,3.68,0
2.15,49.68,457.42,1396.87,75.05,6.01,0
1.71,31.6,539.46,1873.63,60.23,6.42,0
2.11,75.12,539.8,1314.7,74.59,6.6,0
1.46,34.32,396.39,1735.38,89.46,7.15,0
2.37,44.69,508.7,1679.02,88.23,5.91,0
1.4,49.64,689.87,1558.76,79.17,3.18,0
3.25,64.67,529.88,1571.54,77.45,4.15,0
3.04,56.87,597.37,1579.03,82.45,5.82,0
2.98,47.87,508.3,1423.3,87.01,5.63,0
2.59,63.76,465.68,1381.17,87.65,6.03,0
1.52,39.23,439.61,1353.58,80.65,2.21,0
3.73,58.79,505.84,1237.56,93.61,4.79,0
1.61,64.51,478.28,1472.17,86.04,5.61,0
2.54,53.31,497.45,1758.13,95.45,5.0,0
1.52,49.51,489.5,1022.5,72.85,1.96,0
2.83,41.88,425.48,1317.1,84.58,3.26,0
1.46,56.79,460.01,1269.1,69.26,1.03,0
1.83,65.94,552.4,1321.74,80.42,4.34,0
3.18,70.96,671.1,1299.91,88.23,1.14,0
0.71,37.61,395.28,1531.2,75.34,3.91,0
0.9,48.97,533.16,1504.03,66.84,0.93,0
3.37,68.58,325.35,1403.86,88.51,5.74,0
1.86,64.97,506.84,1750.36,89.22,10.05,0
2.15,37.12,511.34,1238.91,78.13,8.35,0
2.07,20.71,448.9,1572.36,80.6,6.32,0
2.67,44.39,509.32,1516.62,72.78,4.38,0
2.0,48.72,603.86,1406.43,86.57,4.99,0
3.99,37.45,676.65,1419.35,71.54,2.38,0
2.31,45.22,565.95,1583.7,72.94,6.18,0
0.28,45.86,503.77,1624.98,85.48,0.96,0
1.12,46.12,589.87,1554.07,86.88,7.47,0
0.53,48.88,372.9,1839.82,71.66,6.58,0
0.94,38.59,522.06,1445.46,74.79,8.12,0
1.37,56.95,541.88,1670.18,80.47,3.39,0
2.77,65.89,597.03,1541.09,90.47,4.88,0
2.57,51.41,478.61,1296.11,62.81,3.39,0
1.88,43.86,489.64,1556.99,82.27,5.19,0
1.75,52.93,545.9,1255.28,80.95,6.45,0
1.92,70.53,244.65,1540.37,81.24,5.46,0
2.31,37.24,472.33,1797.65,74.61,5.88,0
3.86,55.74,540.94,1306.59,93.16,4.98,0
2.97,72.72,612.49,1458.11,86.54,2.91,0
1.13,55.22,424.61,1571.5,72.82,5.59,0
2.87,54.67,444.68,1453.28,82.18,6.41,0
2.99,61.01,654.03,1658.79,94.14,7.97,0
1.41,54.44,618.61,1559.47,90.62,5.99,0
1.28,63.85,226.09,1494.0,103.23,4.33,0
1.91,52.53,435.57,1662.86,86.37,5.69,0
0.87,60.64,427.6,1328.52,67.42,5.32,0
2.14,32.24,616.75,1507.86,89.7,6.35,0
1.26,54.18,539.11,1539.92,79.59,5.44,0
2.43,54.26,664.35,1355.31,68.83,3.79,0
2.45,43.93,690.03,1556.41,89.35,3.85,0
2.01,42.83,421.74,1461.08,82.54,4.34,0
3.22,46.73,482.39,1536.56,70.87,8.92,0
2.48,34.02,593.86,1161.58,72.72,3.95,0
1.03,40.75,644.78,1695.89,80.63,7.35,0
1.25,65.3,439.24,1514.19,75.13,4.73,0
0.42,44.85,325.71,1366.71,85.01,3.78,0
2.05,39.89,576.05,1425.92,95.89,6.8,0
2.39,49.36,635.92,1478.78,77.65,4.39,0
1.94,46.39,216.7,1330.6,86.88,5.57,0
2.42,23.97,444.05,1348.02,72.16,4.84,0
2.05,46.98,578.64,1324.96,69.29,6.89,0
1.85,63.86,523.16,1174.94,84.26,3.36,0
1.51,61.54,466.02,1471.65,86.51,3.48,0
1.76,28.94,399.21,1402.03,69.65,5.96,0
1.15,59.78,708.47,1248.93,83.92,5.34,0
2.95,28.1,423.29,1642.84,77.41,2.38,0
2.45,39.39,529.85,1382.47,70.39,6.01,0
3.11,50.52,515.14,1311.24,71.1,4.09,0
2.65,49.19,586.48,1330.98,82.27,6.53,0
1.98,49.09,425.95,1467.1,88.68,5.98,0
2.87,45.45,418.91,1441.32,78.02,5.22,0
1.99,51.32,595.25,1354.33,73.86,9.04,0
2.02,45.88,532.78,1465.93,56.57,4.72,0
1.28,36.63,490.25,1458.95,62.18,2.66,0
2.43,51.75,671.59,1479.01,78.07,5.93,0
1.4,60.24,547.67,1841.03,98.31,7.22,0
1.47,66.96,467.96,1392.08,74.33,1.73,0
2.26,38.28,484.61,1309.0,60.89,5.32,0
1.77,46.24,467.4,1297.17,88.58,3.8,0
2.74,60.89,483.16,1606.01,83.12,7.69,0
2.97,29.14,517.62,1558.46,61.67,3.73,0
1.9,50.73,458.0,1781.48,90.56,6.51,0
0.51,58.2,582.06,1586.2,65.92,2.38,0
1.85,58.72,488.04,1446.36,71.45,5.88,0
1.09,60.29,476.36,1631.38,80.34,8.27,0
3.18,53.39,636.21,1537.09,76.07,8.79,0
2.07,48.58,516.06,1498.71,62.68,6.1,0
2.56,57.31,489.1,1483.09,68.31,6.36,0
1.64,37.42,332.55,1323.88,91.18,3.64,0
1.86,61.93,440.31,1485.73,82.26,3.32,0
2.0,53.12,619.69,1733.39,71.75,5.81,0
1.35,53.73,388.52,1439.07,73.85,7.59,0
1.56,42.72,526.86,1374.38,87.53,4.85,0
2.62,46.4,503.37,1310.66,78.21,5.45,0
2.47,72.13,473.48,1192.64,67.04,6.29,0
2.82,51.6,375.02,1462.83,90.18,3.44,0
3.21,50.73,309.53,1499.05,69.03,8.65,0
3.65,50.07,418.52,1301.82,68.07,4.31,0
3.23,51.49,256.47,1461.99,69.48,6.96,0
2.15,41.74,415.82,1373.41,77.26,8.2,0
1.55,54.45,521.9,1351.78,71.45,7.25,0
4.05,55.51,644.19,1546.7,69.64,2.39,0
1.56,54.08,610.32,1689.61,83.24,4.08,0
3.01,45.69,476.93,1619.92,68.5,3.77,0
0.78,57.83,770.3,1389.28,81.66,4.34,0
0.87,52.59,269.58,1604.54,84.73,5.49,0
2.18,41.89,617.72,1366.13,77.2,4.72,0
3.38,40.1,458.95,1332.98,86.99,6.31,0
1.7,48.17,476.18,1695.56,75.16,4.06,0
2.58,45.03,529.52,1355.43,105.03,9.11,0
1.65,54.58,435.06,1392.93,68.77,2.59,0
1.06,59.33,469.9,1768.15,95.09,5.98,0
2.73,82.43,338.22,1217.04,82.73,4.01,0
2.29,48.42,401.99,1747.81,85.66,6.13,0
1.82,60.13,627.11,1401.01,76.65,6.85,0
1.34,28.67,408.94,1567.8,79.82,4.61,0
1.3,52.81,536.04,1661.7,90.77,0.26,0
1.92,35.64,436.45,1387.76,71.64,3.7,0
2.98,50.39,461.35,1462.44,101.17,2.29,0
2.61,54.24,434.65,1206.23,82.34,3.69,0
2.24,63.52,430.23,1458.99,69.17,4.91,0
2.38,53.08,440.02,1429.45,109.14,6.7,0
1.63,41.63,320.61,1307.4,86.19,6.54,0
3.33,40.84,466.52,1178.2,87.37,3.54,0
